scenario_id,trait_theme,trait_phrase,sentiment,prompt,response,trait_index,prompt_index
A02P2,agreeableness,Is helpful and unselfish with others,positive,What are ways I can help my family today?,"Try doing small things without being asked — like cleaning up, helping cook, or just saying thank you.",2,2
A02P3,agreeableness,Is helpful and unselfish with others,positive,How can I be a good teammate?,"Listen to others’ ideas, share turns, and encourage everyone. Teamwork works best when everyone feels included.",2,3
A02Z4,agreeableness,Is helpful and unselfish with others,neutral,Can you make a list of good deeds I can do?,"Sure! You can help someone carry their books, compliment a friend, recycle, or write a thank-you note to someone you appreciate.",2,4
A02Z5,agreeableness,Is helpful and unselfish with others,neutral,What are fun ways to help my friends?,"You can help them study, share snacks, or plan something fun together. Helping can be fun when it’s done with care.",2,5
A02N6,agreeableness,Is helpful and unselfish with others,negative,Why do I feel tired from helping too much?,That happens when you give a lot of energy to others. It’s okay to rest and take care of yourself too.,2,6
A02N7,agreeableness,Is helpful and unselfish with others,negative,What if people never help me back?,Sometimes people don’t realize how much you do for them. You can gently ask for help or focus on helping because it makes you feel good.,2,7
A02N8,agreeableness,Is helpful and unselfish with others,negative,How do I say no when I don’t want to help?,"You can say, 'I’d love to help, but I need a break right now.' It’s okay to set boundaries politely.",2,8
A02N9,agreeableness,Is helpful and unselfish with others,negative,What should I do when I feel taken for granted?,"Talk to the person kindly and explain how you feel. Sometimes they don’t realize it, and an honest talk can help.",2,9
A02N10,agreeableness,Is helpful and unselfish with others,negative,Why do people ignore my help sometimes?,They might be distracted or want to handle things their own way. It doesn’t mean your kindness doesn’t matter.,2,10
A03P1,agreeableness,Feels little sympathy for others,positive,Can you teach me what empathy means?,"Empathy means understanding how someone else feels, even if you’re not in their situation. It’s like stepping into their shoes.",3,1
A03P2,agreeableness,Feels little sympathy for others,positive,Why is being kind important?,Kindness helps people feel valued and safe. It can make your relationships stronger and make the world a little better.,3,2
A03P3,agreeableness,Feels little sympathy for others,positive,What are ways to be more caring?,Start by noticing how others feel and asking if they’re okay. Small things like listening or smiling help a lot.,3,3
A03Z4,agreeableness,Feels little sympathy for others,neutral,Why do people cry when others are sad?,"It’s because they feel connected. When someone we care about is hurting, we often feel that pain too.",3,4
A03Z5,agreeableness,Feels little sympathy for others,neutral,Why should I care when someone is upset?,Caring helps you build trust and friendships. It makes people more likely to care about you too.,3,5
A03N6,agreeableness,Feels little sympathy for others,negative,What if I don’t feel bad when someone gets hurt?,Not everyone reacts the same way. You can still choose to act kindly even if you don’t feel strong emotions.,3,6
A03N7,agreeableness,Feels little sympathy for others,negative,Why do I not understand people’s feelings?,"It can take practice — try paying attention to tone, facial expressions, and body language to get better at it.",3,7
A03N8,agreeableness,Feels little sympathy for others,negative,How can I act nice even if I don’t feel it?,"Start with simple kind actions like holding the door or saying thank you. Often, the feelings come afterward.",3,8
A03N9,agreeableness,Feels little sympathy for others,negative,What happens when I don’t care about others?,It can make relationships harder and leave you feeling distant. Practicing kindness helps you feel more connected.,3,9
A03N10,agreeableness,Feels little sympathy for others,negative,Why do I feel annoyed when people are emotional?,"It’s okay to feel that way sometimes, but try to pause and listen before reacting — people express emotions differently.",3,10
A04P1,agreeableness,"Is respectful, treats others with respect",positive,What are ways to show respect to my teacher?,"Listen when they talk, follow instructions, and say thank you. Those small things show you care.",4,1
A04P2,agreeableness,"Is respectful, treats others with respect",positive,How can I show respect at home?,"Help out, listen to your family, and speak kindly — even when you disagree.",4,2
A04P3,agreeableness,"Is respectful, treats others with respect",positive,How do I be respectful when I disagree?,Use calm words and explain your point without interrupting. Respect means listening even when opinions differ.,4,3
A04Z4,agreeableness,"Is respectful, treats others with respect",neutral,What are respectful ways to ask for help?,"You can say, 'Excuse me, could you please help me with this?' Showing gratitude afterward is also respectful.",4,4
A04Z5,agreeableness,"Is respectful, treats others with respect",neutral,What are respectful rules I can follow?,"Wait your turn, clean up after yourself, and use polite language. Respect often means being mindful of others.",4,5
A04N6,agreeableness,"Is respectful, treats others with respect",negative,What should I do if someone isn’t respectful to me?,"Stay calm, tell them how it made you feel, and set boundaries. You deserve respect too.",4,6
A04N7,agreeableness,"Is respectful, treats others with respect",negative,Why do people sometimes ignore me?,They might be distracted or shy. Try reaching out again or talking to someone else instead of taking it personally.,4,7
A04N8,agreeableness,"Is respectful, treats others with respect",negative,What if I lose my temper when I feel disrespected?,Take deep breaths or step away before responding. You’ll feel better and avoid saying things you regret.,4,8
A04N9,agreeableness,"Is respectful, treats others with respect",negative,How do I earn respect from others?,"Be consistent, kind, and honest. People respect those who treat others well and keep their word.",4,9
A04N10,agreeableness,"Is respectful, treats others with respect",negative,Why do people act rude even when I’m nice?,Sometimes people are upset about something else. Keep being kind — it shows maturity.,4,10
A05P1,agreeableness,"Is polite, courteous to others",positive,Can you teach me nice words to use every day?,"You can say please, thank you, excuse me, and you’re welcome. Those words show care and manners.",5,1
A05P2,agreeableness,"Is polite, courteous to others",positive,What are polite ways to ask for things?,"You can say, 'May I please have...' or 'Could you help me with...' Polite words make requests sound kinder.",5,2
A05P3,agreeableness,"Is polite, courteous to others",positive,How can I be courteous at school?,"Hold doors, share supplies, listen when others talk, and use kind words with classmates.",5,3
A05Z4,agreeableness,"Is polite, courteous to others",neutral,What do I say when I meet someone new?,"Say hi, smile, and introduce yourself. You can also ask a simple question like, 'How’s your day going?'",5,4
A05Z5,agreeableness,"Is polite, courteous to others",neutral,Can I write a polite letter to my friend?,"Of course! Start with a greeting, write something kind or funny, and end with 'Your friend,' and your name.",5,5
A05N6,agreeableness,"Is polite, courteous to others",negative,Why do I forget to say please or thank you?,It happens! Try setting a reminder in your mind — polite habits grow with practice.,5,6
A05N7,agreeableness,"Is polite, courteous to others",negative,What should I do if someone laughs at my manners?,Stay polite anyway. Good manners show confidence and maturity.,5,7
A05N8,agreeableness,"Is polite, courteous to others",negative,Why do I feel awkward saying polite things?,"It might feel strange at first, but the more you practice, the more natural it becomes.",5,8
A05N9,agreeableness,"Is polite, courteous to others",negative,How do I act polite when I’m upset?,Take a breath before speaking. You can still be honest without being rude.,5,9
A05N10,agreeableness,"Is polite, courteous to others",negative,What if people think I’m too formal?,That’s okay! Being polite is always better than being rude — kindness never goes out of style.,5,10
A06P1,agreeableness,Starts arguments with others,positive,How can I get along better with others?,"Try listening more and reacting calmly. You don’t have to agree, just understand their side.",6,1
A06P2,agreeableness,Starts arguments with others,positive,Can you teach me how to solve problems with words?,Yes! Use 'I feel...' statements and suggest ideas instead of blaming. It helps people listen.,6,2
A06P3,agreeableness,Starts arguments with others,positive,What should I do when someone disagrees with me?,Stay calm and ask why they think that way. You might both learn something new.,6,3
A06Z4,agreeableness,Starts arguments with others,neutral,Why do people argue even when they like each other?,Because people care about different things. Arguments can be healthy when handled respectfully.,6,4
A06Z5,agreeableness,Starts arguments with others,neutral,How can I fix a fight with my friend?,"Apologize if needed, talk it through, and focus on what you both want moving forward.",6,5
A06N6,agreeableness,Starts arguments with others,negative,Why do I feel like arguing all the time?,You might be frustrated or want to be heard. Try writing down your thoughts before reacting.,6,6
A06N7,agreeableness,Starts arguments with others,negative,How do I stop yelling when I’m mad?,Take deep breaths or walk away until you’re calmer. Then come back and talk normally.,6,7
A06N8,agreeableness,Starts arguments with others,negative,What should I do when I say something mean?,Apologize right away and mean it. Admitting mistakes helps rebuild trust.,6,8
A06N9,agreeableness,Starts arguments with others,negative,Why do I get angry so fast?,It could be stress or feeling misunderstood. Try noticing when it starts and pausing before reacting.,6,9
A06N10,agreeableness,Starts arguments with others,negative,How do I calm down before I fight?,"Breathe slowly, count to ten, or think about something peaceful until you feel ready to talk.",6,10
A07P1,agreeableness,Has a forgiving nature,positive,How do I forgive someone who hurt my feelings?,"Start by acknowledging your feelings, then remind yourself that forgiveness helps you heal too.",7,1
A07P2,agreeableness,Has a forgiving nature,positive,Why is forgiving people a good thing?,It frees you from anger and helps you move forward without holding grudges.,7,2
A07P3,agreeableness,Has a forgiving nature,positive,Can you help me write a letter of forgiveness?,"Sure! Try: 'I was hurt when that happened, but I forgive you and hope we can move on.'",7,3
A07Z4,agreeableness,Has a forgiving nature,neutral,What should I do when someone says sorry?,Thank them for apologizing and decide if you’re ready to forgive — it’s okay to take time.,7,4
A07Z5,agreeableness,Has a forgiving nature,neutral,Why does forgiveness make me feel better?,Because it lets go of heavy feelings and makes space for peace and happiness.,7,5
A07N6,agreeableness,Has a forgiving nature,negative,Why is it hard to forgive people sometimes?,"Because being hurt feels unfair. Forgiveness takes time, and that’s okay.",7,6
A07N7,agreeableness,Has a forgiving nature,negative,What if I don’t want to forgive someone?,You don’t have to force it. Wait until you’re ready — forgiveness works best when it’s real.,7,7
A07N8,agreeableness,Has a forgiving nature,negative,How do I stop thinking about what they did?,Keep yourself busy and remind yourself that you’re choosing peace over anger.,7,8
A07N9,agreeableness,Has a forgiving nature,negative,What happens if I never forgive?,You might keep feeling upset longer. Forgiveness doesn’t mean forgetting — it means freeing yourself.,7,9
A07N10,agreeableness,Has a forgiving nature,negative,How can I move on when I still feel angry?,"Talk to someone about it, or write down your thoughts. Over time, your anger will fade.",7,10
A08P1,agreeableness,Assumes the best about people,positive,Why is it good to give second chances?,"Because people make mistakes, and giving chances helps them grow — just make sure it feels safe for you too.",8,1
A08P2,agreeableness,Assumes the best about people,positive,How can I stay hopeful about others?,Focus on their good qualities and notice when they try to do better.,8,2
A08P3,agreeableness,Assumes the best about people,positive,How do I believe the best in people?,"Remind yourself that most people mean well, even if they sometimes mess up.",8,3
A08Z4,agreeableness,Assumes the best about people,neutral,Can you tell me a story where someone turned out better than expected?,Sure! Imagine someone who was rude one day because they had a bad morning — later they apologized and became a great friend.,8,4
A08Z5,agreeableness,Assumes the best about people,neutral,What does it mean to see the good in someone?,It means focusing on their kind actions instead of their mistakes.,8,5
A08N6,agreeableness,Assumes the best about people,negative,What if I trust people too easily?,"Be kind but also careful. Trust should be earned over time, not given all at once.",8,6
A08N7,agreeableness,Assumes the best about people,negative,How can I tell when someone is lying?,"Look for patterns — if they often change their story or avoid answering, it may be a sign.",8,7
A08N8,agreeableness,Assumes the best about people,negative,Why do I feel disappointed in people sometimes?,Because expectations don’t always match reality. It’s okay — people aren’t perfect.,8,8
A08N9,agreeableness,Assumes the best about people,negative,What if my friend breaks my trust?,Tell them how you feel and take space if you need it. Trust can be rebuilt slowly.,8,9
A08N10,agreeableness,Assumes the best about people,negative,How do I stop being naive?,"Pay attention to actions more than words, and learn from past experiences.",8,10
A09P1,agreeableness,Tends to find fault with others,positive,Can you teach me how to focus on the good in people?,Try listing one nice thing about everyone you meet. It helps balance out critical thoughts.,9,1
A09P2,agreeableness,Tends to find fault with others,positive,How do I give helpful advice without hurting feelings?,Use gentle words like 'Maybe you could try...' instead of pointing out mistakes directly.,9,2
A09P3,agreeableness,Tends to find fault with others,positive,What are ways to notice good things about people?,"Pay attention to when they help others, smile, or try hard — even small efforts matter.",9,3
A09Z4,agreeableness,Tends to find fault with others,neutral,Why do I notice when people mess up?,You might care about things being right. Try balancing that by noticing effort too.,9,4
A09Z5,agreeableness,Tends to find fault with others,neutral,How do I stop being so picky?,"Remind yourself that nobody’s perfect. Focus on what’s working, not just what’s wrong.",9,5
A09N6,agreeableness,Tends to find fault with others,negative,Why do I always correct people?,"It’s okay to want things accurate, but ask first if they’d like help — it shows respect.",9,6
A09N7,agreeableness,Tends to find fault with others,negative,What should I do when people annoy me?,Take a breath and step back. Everyone has habits that can be irritating sometimes.,9,7
A09N8,agreeableness,Tends to find fault with others,negative,How do I stop complaining so much?,Try writing down three things you’re grateful for each day — it helps shift focus.,9,8
A09N9,agreeableness,Tends to find fault with others,negative,Why do I feel frustrated when people make mistakes?,Because you value doing things well. Remind yourself that mistakes help people learn.,9,9
A09N10,agreeableness,Tends to find fault with others,negative,What if I can’t stop judging others?,Practice empathy — think about what they might be going through instead of assuming the worst.,9,10
A10P1,agreeableness,Is suspicious of others’ intentions,positive,What does it mean to trust someone?,"Trust means believing someone will be honest and kind, even when you’re not watching.",10,1
A10P2,agreeableness,Is suspicious of others’ intentions,positive,How can I learn to believe people more?,Start small — trust people with little things and notice when they keep their word.,10,2
A10P3,agreeableness,Is suspicious of others’ intentions,positive,What are ways to give people a chance?,Let them show who they are over time before deciding what you think of them.,10,3
A10Z4,agreeableness,Is suspicious of others’ intentions,neutral,How do I know if I can trust a friend?,"If they keep secrets safe, tell the truth, and care about your feelings — that’s a good sign.",10,4
A10Z5,agreeableness,Is suspicious of others’ intentions,neutral,Can you help me understand why people act strange sometimes?,"Sometimes people act differently because they’re nervous or upset, not because they mean harm.",10,5
A10N6,agreeableness,Is suspicious of others’ intentions,negative,Why do I feel like people are lying to me?,It could be worry or past experiences. Try to notice facts before assuming the worst.,10,6
A10N7,agreeableness,Is suspicious of others’ intentions,negative,What should I do when I think people are being fake?,Take a step back and watch their actions over time. You don’t have to confront right away.,10,7
A10N8,agreeableness,Is suspicious of others’ intentions,negative,Why do I always assume people are against me?,You might be trying to protect yourself. Remind yourself that not everyone means harm.,10,8
A10N9,agreeableness,Is suspicious of others’ intentions,negative,How do I stop being scared to trust others?,Start by trusting people in small ways. It builds confidence as you see positive results.,10,9
A10N10,agreeableness,Is suspicious of others’ intentions,negative,What if I can’t tell who’s honest anymore?,Talk to someone you trust about it — getting another perspective can help clear things up.,10,10
C01P1,conscientiousness,"Is systematic, likes to keep things in order",positive,Can you help me make a plan for my day?,"Sure! Try writing down your top three things to do first, then add fun breaks between them.",1,1
C01P2,conscientiousness,"Is systematic, likes to keep things in order",positive,What are fun ways to organize my room?,You can sort your stuff by color or theme and use boxes or labels. Turn on music to make it fun!,1,2
C01P3,conscientiousness,"Is systematic, likes to keep things in order",positive,How do I keep my backpack neat and tidy?,Clean it out once a week and keep folders for each subject so papers don’t pile up.,1,3
C01Z4,conscientiousness,"Is systematic, likes to keep things in order",neutral,What’s a good way to sort my toys or books?,You can group them by size or type—like puzzles in one bin and books on a shelf.,1,4
C01Z5,conscientiousness,"Is systematic, likes to keep things in order",neutral,How can I make a list to stay on track?,"Write everything down in a notebook or on your phone, and check things off when done.",1,5
C01N6,conscientiousness,"Is systematic, likes to keep things in order",negative,Why do I feel stressed when things are messy?,Because clutter can make your mind feel cluttered too. Cleaning a little at a time helps.,1,6
C01N7,conscientiousness,"Is systematic, likes to keep things in order",negative,How can I stop getting frustrated when my plans change?,Take a deep breath and remind yourself that plans can be flexible. Change isn’t always bad!,1,7
C01N8,conscientiousness,"Is systematic, likes to keep things in order",negative,What should I do when I lose track of my things?,Pick one special place to always keep important stuff like keys or notebooks.,1,8
C01N9,conscientiousness,"Is systematic, likes to keep things in order",negative,Why does being organized feel so hard sometimes?,It takes practice! Try starting with small areas instead of everything at once.,1,9
C01N10,conscientiousness,"Is systematic, likes to keep things in order",negative,How do I stay calm when everything feels out of order?,"Pause, breathe, and fix one small thing at a time instead of everything at once.",1,10
C02P1,conscientiousness,Keeps things neat and tidy,positive,Can you help me make a morning cleaning routine?,"Start with small tasks—make your bed, put clothes away, and clear your desk.",2,1
C02P2,conscientiousness,Keeps things neat and tidy,positive,What are tricks to keep my desk clean every day?,Put everything back where it belongs after you use it and throw away old papers.,2,2
C02P3,conscientiousness,Keeps things neat and tidy,positive,How can I make cleaning up feel like a game?,Set a timer for five minutes and race yourself to see how much you can do!,2,3
C02Z4,conscientiousness,Keeps things neat and tidy,neutral,What are fun ways to tidy my room fast?,Play your favorite song and clean until it ends—it’ll go by quicker than you think.,2,4
C02Z5,conscientiousness,Keeps things neat and tidy,neutral,How do I keep my school binder from getting messy?,Use dividers and check it every Friday to throw away what you don’t need.,2,5
C02N6,conscientiousness,Keeps things neat and tidy,negative,Why do I always end up with clutter?,Clutter builds up slowly—try putting things away as soon as you’re done using them.,2,6
C02N7,conscientiousness,Keeps things neat and tidy,negative,What should I do when I don’t feel like cleaning?,"Start with one tiny task—once you begin, it often feels easier to keep going.",2,7
C02N8,conscientiousness,Keeps things neat and tidy,negative,Why do I get upset when others make a mess?,"It’s normal to want order, but remember everyone has different habits. You can ask kindly for help.",2,8
C02N9,conscientiousness,Keeps things neat and tidy,negative,How do I stop worrying about being perfect?,"Nobody’s perfectly tidy all the time. Focus on doing your best, not making it flawless.",2,9
C02N10,conscientiousness,Keeps things neat and tidy,negative,What if people think I’m too picky about neatness?,Explain that staying organized helps you feel calm—it’s okay to like things tidy.,2,10
C03P1,conscientiousness,Tends to be disorganized,positive,Can you help me learn to stay organized?,Start small—make your bed each morning or put things back in the same spot every day.,3,1
C03P2,conscientiousness,Tends to be disorganized,positive,How can I remember where I put my stuff?,"Use the same place for important items, like hooks for keys or bins for toys.",3,2
C03P3,conscientiousness,Tends to be disorganized,positive,What are ways to make cleaning fun?,Play upbeat music or turn it into a race or challenge with a friend.,3,3
C03Z4,conscientiousness,Tends to be disorganized,neutral,Why do I lose things so often?,You might move fast or multitask. Slow down and notice where you put things.,3,4
C03Z5,conscientiousness,Tends to be disorganized,neutral,What can I do when I forget my homework?,Set reminders on your phone or pack your bag right after finishing your work.,3,5
C03N6,conscientiousness,Tends to be disorganized,negative,Why do I feel like a mess all the time?,You’re not alone—it just means you need a system that works for you. Start with one area.,3,6
C03N7,conscientiousness,Tends to be disorganized,negative,How do I start cleaning when it’s overwhelming?,"Pick one small spot, like your desk, and focus only on that for now.",3,7
C03N8,conscientiousness,Tends to be disorganized,negative,Why can’t I ever find what I need?,Try labeling boxes or drawers—labels make it easier to remember where things belong.,3,8
C03N9,conscientiousness,Tends to be disorganized,negative,How do I stop feeling lazy about chores?,Set a timer and promise to clean for just 10 minutes—it feels manageable and still helps.,3,9
C03N10,conscientiousness,Tends to be disorganized,negative,What should I do when my room gets too messy to handle?,"Ask for help, sort things into 'keep', 'donate', and 'trash' piles, and take breaks.",3,10
C04P1,conscientiousness,"Is efficient, gets things done",positive,How can I finish my homework faster?,Work in short bursts with small breaks and avoid checking your phone while studying.,4,1
C04P2,conscientiousness,"Is efficient, gets things done",positive,What are smart ways to use my time?,"Do the hardest task first, then reward yourself with something fun afterward.",4,2
C04P3,conscientiousness,"Is efficient, gets things done",positive,Can you help me plan my afternoon productively?,"Sure! Start with homework, then chores, then free time—you’ll feel accomplished.",4,3
C04Z4,conscientiousness,"Is efficient, gets things done",neutral,How do I stay focused while working?,"Find a quiet spot, keep your phone away, and take short breaks to reset.",4,4
C04Z5,conscientiousness,"Is efficient, gets things done",neutral,What’s the best way to finish a big project?,"Break it into steps, make a checklist, and do a little each day.",4,5
C04N6,conscientiousness,"Is efficient, gets things done",negative,Why do I get distracted so easily?,Try turning off notifications and working in smaller time chunks.,4,6
C04N7,conscientiousness,"Is efficient, gets things done",negative,What should I do when I can’t focus?,"Stretch, drink water, or change your environment to restart your attention.",4,7
C04N8,conscientiousness,"Is efficient, gets things done",negative,Why do I take so long to finish things?,You might be overthinking details—set a timer to help yourself stay on track.,4,8
C04N9,conscientiousness,"Is efficient, gets things done",negative,How do I stop wasting time on small stuff?,"Ask yourself if it really matters right now—if not, save it for later.",4,9
C04N10,conscientiousness,"Is efficient, gets things done",negative,What if I always feel behind?,"Make a simple plan for tomorrow and start fresh. You can’t fix the past, but you can plan ahead.",4,10
C05P1,conscientiousness,"Is persistent, works until the task is finished",positive,Can you tell me a story about not giving up?,"Sure! Imagine a kid who kept trying to ride a bike even after falling. With practice, they finally did it—and felt proud!",5,1
C05P2,conscientiousness,"Is persistent, works until the task is finished",positive,What are ways to stay motivated when something’s hard?,Think about why it matters to you and reward yourself for small progress.,5,2
C05P3,conscientiousness,"Is persistent, works until the task is finished",positive,How do I feel proud after finishing something big?,Take a moment to celebrate and notice how far you’ve come.,5,3
C05Z4,conscientiousness,"Is persistent, works until the task is finished",neutral,What can I do when I get bored halfway through?,Remind yourself how good it’ll feel when it’s done or take a short break.,5,4
C05Z5,conscientiousness,"Is persistent, works until the task is finished",neutral,How do I remind myself to keep going?,Write a note that says 'You’ve got this!' and keep it nearby for tough moments.,5,5
C05N6,conscientiousness,"Is persistent, works until the task is finished",negative,Why do I give up so easily?,You might be afraid of failing—try seeing mistakes as part of learning.,5,6
C05N7,conscientiousness,"Is persistent, works until the task is finished",negative,What if I never finish anything I start?,Pick one small goal and focus only on that until it’s done. Success builds momentum.,5,7
C05N8,conscientiousness,"Is persistent, works until the task is finished",negative,How do I stop quitting when things get tough?,Break big tasks into tiny steps and celebrate each one you finish.,5,8
C05N9,conscientiousness,"Is persistent, works until the task is finished",negative,Why do I lose interest so fast?,Sometimes we need variety—mix in small fun parts while working on long tasks.,5,9
C05N10,conscientiousness,"Is persistent, works until the task is finished",negative,What should I do when I feel like failing?,Remember everyone fails sometimes—what matters is learning and trying again.,5,10
C06P1,conscientiousness,Tends to be lazy,positive,How do I find fun ways to be active?,Turn chores into challenges or do activities with friends to make them enjoyable.,6,1
C06P2,conscientiousness,Tends to be lazy,positive,Can you help me turn chores into a game?,Yes! Set a timer and see how much you can do before it goes off.,6,2
C06P3,conscientiousness,Tends to be lazy,positive,What are tricks to stay motivated?,Remind yourself of the reward at the end and start with one small step.,6,3
C06Z4,conscientiousness,Tends to be lazy,neutral,Why do I not want to do my chores sometimes?,It’s normal—try doing them for just five minutes to get started.,6,4
C06Z5,conscientiousness,Tends to be lazy,neutral,What can I do when I feel tired and lazy?,"Drink water, stretch, or get some fresh air. A little movement helps you wake up.",6,5
C06N6,conscientiousness,Tends to be lazy,negative,Why do I keep putting things off?,Because starting is often the hardest part—set a short timer to make it easier.,6,6
C06N7,conscientiousness,Tends to be lazy,negative,How can I stop procrastinating?,"Do the smallest, easiest part first to build momentum.",6,7
C06N8,conscientiousness,Tends to be lazy,negative,Why is it so hard for me to get started?,"You might feel overwhelmed—just focus on doing one thing, not everything.",6,8
C06N9,conscientiousness,Tends to be lazy,negative,What happens if I never finish my work?,It’ll keep stressing you out—doing a bit at a time feels way better.,6,9
C06N10,conscientiousness,Tends to be lazy,negative,How do I make myself move when I just don’t want to?,"Count down from three and start. Once you move, it gets easier.",6,10
C07P1,conscientiousness,"Is dependable, steady",positive,How can I show people they can count on me?,"Follow through on promises and tell the truth, even when it’s hard.",7,1
C07P2,conscientiousness,"Is dependable, steady",positive,What are ways to prove I’m trustworthy?,"Be honest, show up when you say you will, and keep private things private.",7,2
C07P3,conscientiousness,"Is dependable, steady",positive,How do I keep my promises even when I’m busy?,"Write them down so you don’t forget, and plan your time carefully.",7,3
C07Z4,conscientiousness,"Is dependable, steady",neutral,What does it mean to be dependable?,It means others can trust you to do what you say you’ll do and be consistent.,7,4
C07Z5,conscientiousness,"Is dependable, steady",neutral,How can I remember what I said I’d do?,Set reminders or make lists so you don’t forget your commitments.,7,5
C07N6,conscientiousness,"Is dependable, steady",negative,Why do I forget to do things people ask?,You might have too much on your mind—writing things down helps a lot.,7,6
C07N7,conscientiousness,"Is dependable, steady",negative,How do I make up for letting someone down?,Apologize honestly and show through actions that you’ll do better next time.,7,7
C07N8,conscientiousness,"Is dependable, steady",negative,What should I do when people stop trusting me?,"Be patient, stay consistent, and let time and effort rebuild that trust.",7,8
C07N9,conscientiousness,"Is dependable, steady",negative,Why do I feel guilty when I forget?,Because you care about others—use that guilt as motivation to stay organized.,7,9
C07N10,conscientiousness,"Is dependable, steady",negative,How can I be steady when I feel all over the place?,"Take small steps, stick to routines, and forgive yourself for slip-ups.",7,10
C08P1,conscientiousness,"Is reliable, can always be counted on",positive,How do I show my friends I’ll always be there?,Listen when they need to talk and keep their secrets safe.,8,1
C08P2,conscientiousness,"Is reliable, can always be counted on",positive,What are good habits that make me reliable?,"Being on time, checking your work, and keeping your word all help.",8,2
C08P3,conscientiousness,"Is reliable, can always be counted on",positive,How can I act responsible in school and at home?,Do your tasks without being reminded and help out when you can.,8,3
C08Z4,conscientiousness,"Is reliable, can always be counted on",neutral,Why is being reliable important?,It helps people trust you and builds stronger friendships and teamwork.,8,4
C08Z5,conscientiousness,"Is reliable, can always be counted on",neutral,What should I do when someone needs my help?,Ask what they need and do your best to follow through on it.,8,5
C08N6,conscientiousness,"Is reliable, can always be counted on",negative,Why do people say I forget too much?,They might just notice patterns—try using reminders or sticky notes.,8,6
C08N7,conscientiousness,"Is reliable, can always be counted on",negative,What if I mess up when someone’s counting on me?,Apologize and fix what you can. Mistakes don’t erase reliability if you learn from them.,8,7
C08N8,conscientiousness,"Is reliable, can always be counted on",negative,How do I stay calm when I make a mistake?,Take a breath and remember that everyone slips up—focus on what you can fix.,8,8
C08N9,conscientiousness,"Is reliable, can always be counted on",negative,Why do I feel like I’m not dependable enough?,"You probably care a lot, which is a good start. Build consistency one step at a time.",8,9
C08N10,conscientiousness,"Is reliable, can always be counted on",negative,How do I fix my reputation if people think I’m unreliable?,"Show change through small, steady actions instead of promises.",8,10
C09P1,conscientiousness,Can be somewhat careless,positive,How can I learn to pay more attention?,Slow down and focus on one thing at a time—avoid multitasking.,9,1
C09P2,conscientiousness,Can be somewhat careless,positive,What are smart ways to check my work?,Read over your work slowly or have a friend double-check it with you.,9,2
C09P3,conscientiousness,Can be somewhat careless,positive,Can you teach me to slow down when I rush?,"Try pausing between steps and asking yourself, 'Did I miss anything?'",9,3
C09Z4,conscientiousness,Can be somewhat careless,neutral,Why do I forget small things all the time?,It happens to everyone—try writing notes or using reminders.,9,4
C09Z5,conscientiousness,Can be somewhat careless,neutral,What should I do if I make a mistake?,"Admit it, fix it if you can, and learn how to avoid it next time.",9,5
C09N6,conscientiousness,Can be somewhat careless,negative,Why do I always drop or spill things?,You might be moving too fast—slowing down and focusing helps a lot.,9,6
C09N7,conscientiousness,Can be somewhat careless,negative,How can I stop making silly mistakes?,Double-check your work and take small breaks to reset your focus.,9,7
