title,description,tag,content
Ideen-Entwicklungs-Tool,"Ein Werkzeug, das dir hilft, deine Ideen zu entwickeln und zu verfeinern.",Allgemeine Produktivität,"Stelle dir vor, du kannst deine groben Ideen, vagen Konzepte oder sogar nur ein einzelnes Wort über {{deine spezifische Idee oder Projekt}} nehmen und sie in einen polierten, hochwertigen {{Überblick, Plan oder Strategie}} verwandeln. Ob du ein {{Schriftsteller, Unternehmer, Content-Ersteller oder eine andere Rolle}} bist, die Verfeinerung deiner anfänglichen Gedanken in etwas Einflussreiches kann beginnen, indem du dich fragst: Welches Problem oder welche Notwendigkeit adressiert deine Idee? Wer ist deine Zielgruppe? Was macht deine Idee einzigartig? Welche Ergebnisse stellst du dir vor? Wenn du diese Fragen erforschst, zerlege deine Idee in handhabbare Komponenten, passe sie an Trends an und entwickle eine überzeugende Erzählung, um sie zum Leben zu erwecken."
20-Wörter-Zusammenfassung,Fasse einen Artikel in 20 Wörtern oder weniger zusammen.,Analyse & Zusammenfassungen,"**Aufgabe:** Fasse den bereitgestellten Artikel in 20 Wörtern oder weniger zusammen.
**Anweisungen:** 1. Lies den vollständigen Artikel, den der Benutzer bereitstellt. 2. Identifiziere die Hauptpunkte, Kerngedanken und wesentlichen Details. 3. Reduziere die Kernaussage auf das Wesentliche und lasse überflüssige Informationen weg. 4. Erstelle eine prägnante Zusammenfassung in 20 Wörtern oder weniger. 5. Stelle sicher, dass die Zusammenfassung die Hauptpunkte und die Gesamtbedeutung korrekt wiedergibt. **Benutzereingaben:** {{Artikeltext}}"
SWOT-Analyse,"Führe eine umfassende SWOT-Analyse durch, um die Stärken, Schwächen, Chancen und Risiken eines Unternehmens im Zielmarkt zu bewerten.",Analyse & Zusammenfassungen,"**Aufgabe:** Führe eine umfassende SWOT-Analyse durch, um die Stärken, Schwächen, Chancen und Risiken eines Unternehmens im Zielmarkt zu bewerten. Diese Forschung zielt darauf ab, Wettbewerbsvorteile zu identifizieren, Marktrisiken zu bewerten und strategische Empfehlungen für zukünftiges Wachstum zu geben.
**Anweisungen:**
**Schlüsselfragen der Forschung**
1. Was sind die primären Wettbewerbsvorteile (Stärken) von {{Unternehmensname}} im Zielmarkt?
2. Welche Schwächen in {{Produkt/Dienstleistung}} könnten die Marktleistung beeinträchtigen?
3. Welche Marktchancen bestehen für das Wachstum und die Expansion von {{Unternehmensname}}?
4. Welche internen und externen Bedrohungen könnten die Wettbewerbsfähigkeit von {{Unternehmensname}} beeinflussen?
5. Wie beeinflussen aktuelle Markttrends und das Wettbewerbsumfeld die Positionierung von {{Unternehmensname}}?
6. Welche strategischen Empfehlungen können gegeben werden, um die Marktposition von {{Unternehmensname}} zu stärken?
**Literaturübersicht**
**Quellen:**
- Branchenberichte und Marktforschungsstudien
- Veröffentlichungen in spezialisierten Marketing- und Technologiezeitschriften
- Marktanalysen im E-Commerce und E-Mail-Marketing
**Schlüsselwörter:** {{Schlüsselwörter}}
**Datenerhebung und -analyse**
**Methoden:**
- Sammeln von Daten aus offenen Quellen und analytischen Datenbanken
- Vergleichende Analyse der Wettbewerbsstärken und -schwächen
- Synthese von Erkenntnissen aus Branchenberichten und Marktforschung
- Qualitative Analyse unter Verwendung von Expertenmeinungen und -bewertungen
**Erwartete Ergebnisse**
Die Studie wird eine strukturierte SWOT-Analyse produzieren, einschließlich:
- Eine detaillierte Liste der Stärken, die die Wettbewerbsvorteile von {{Unternehmensname}} hervorheben
- Identifikation von Schwächen, die die Marktpräsenz beeinflussen könnten
- Erkennung von Chancen für die Geschäftsexpansion und das Wachstum
- Bewertung von Bedrohungen und Risiken, die Beachtung erfordern
- Entwicklung strategischer Empfehlungen zur Verbesserung der Wettbewerbsfähigkeit im Zielmarkt
**Benutzereingaben:** {{Link zur Unternehmensseite}}, {{Produkt/Dienstleistung}}, {{Schlüsselwörter}}"
Faktenextraktion,"Liste alle wichtigen Fakten, Zahlen und Erkenntnisse aus einem Artikel und fasse die Hauptpunkte zusammen.",Analyse & Zusammenfassungen,"Liste alle konkreten Fakten, Zahlen, Statistiken, Datenpunkte, umsetzbare Erkenntnisse, zukunftsgerichtete Aussagen oder Prognosen, Vorhersagen darüber, was als Nächstes kommt, oder sonstige wichtige Details aus diesem Artikel in einer Liste mit Aufzählungspunkten. Du solltest mindestens eine Liste von 25-50 Fakten haben. Wenn weniger als 25 Fakten vorhanden sind, gehe zum nächsten Schritt über.

Nachdem du alle diese Fakten und Erkenntnisse erfasst hast, fasse in einem Absatz die Hauptpunkte zusammen und was man verstehen muss, um den Hauptpunkt des Artikels zu verstehen. Stelle sicher, dass du den Absatz erst schreibst, wenn du alle Fakten erfasst hast.
 
Nach dem Absatz analysiere deine Arbeit und überprüfe, ob dir weitere Fakten aus dem Originalartikel fehlen. Denke Schritt für Schritt, um diese Aufgabe anzugehen.
 
Hier ist der Artikel: {{Artikel}}"
Deep Research Prompt,"Führe eine umfassende Forschung zu einem komplexen Thema durch, indem du Informationen aus mehreren hochwertigen Quellen integrierst und neue Erkenntnisse durch die Verknüpfung von Ideen aus verschiedenen Disziplinen aufdeckst.",Analyse & Zusammenfassungen,"**Kontext & Rolle:**
 Du bist ein erfahrener akademischer Forscher und investigativer Analyst mit umfangreicher Erfahrung in {{DEIN FACHGEBIET ODER DISZIPLIN}}. Deine Aufgabe ist es, eine tiefgehende Forschung zu einem komplexen Thema durchzuführen, indem du Informationen aus mehreren hochwertigen Quellen (peer-reviewed Journals, autoritative Berichte und seriöse Websites) integrierst. Deine Analyse muss gründlich und objektiv sein und sollte neue Erkenntnisse durch die Verknüpfung von Ideen aus verschiedenen Disziplinen aufdecken.

 **Ziele & Anweisungen:**

 **Forschungsumfang definieren:**
 Formuliere die Forschungsfrage oder das Thema klar.
 Identifiziere spezifische Aspekte, Zeiträume, Regionen oder theoretische Rahmenbedingungen, die zu berücksichtigen sind.

 **Methodik:**
 Führe eine umfassende Suche nach relevanter Literatur, Expertenbewertungen und aktuellen Trends durch.
 Analysiere und vergleiche die Hauptbefunde aus mindestens drei seriösen Quellen.
 Identifiziere Lücken, Widersprüche oder aufkommende Trends in den Daten.

 **Synthese & Analyse:**
 Fasse die Hauptaussagen, unterstützenden Beweise und Gegenargumente zusammen.
 Bewerte die Glaubwürdigkeit jeder Quelle und vermerke potenzielle Verzerrungen oder Einschränkungen.
 Biete eine integrative Synthese, die nicht nur die ursprüngliche Forschungsfrage beantwortet, sondern auch mögliche zukünftige Forschungsrichtungen oder Anwendungen vorschlägt.

 **Formatierung & Ausgabe:**
 Präsentiere deine Ergebnisse in einer klaren, logischen Struktur mit Aufzählungspunkten, Unterüberschriften und prägnanten Zusammenfassungen.
 Füge ordnungsgemäße Zitate und Referenzen für alle verwendeten Hauptquellen ein.
 Biete ein kurzes Fazit, das die Bedeutung der Forschung hervorhebt und die nächsten Schritte umreißt.

 **Dein spezifisches Forschungsthema:**
 {{DEINE FORSCHUNGSFRAGE ODER THEMA}}

 **Endgültiges Ergebnis:**
 Erstelle basierend auf den obigen Anweisungen einen detaillierten Forschungsbericht, der Folgendes enthält:
 Eine Einleitung, die die Forschungsziele und den Kontext darlegt"
Extrahierende Zusammenfassung,Erstellen Sie eine extrahierende Zusammenfassung eines Textstücks.,Analyse & Zusammenfassungen,Sie sind ein Experte für Textanalyse und Recherche. Bitte erstellen Sie eine extrahierende Zusammenfassung für folgenden Text: {{Text}}
Keyword-Extraktion,Extrahieren Sie Keywords und Keyphrases aus einem Textstück.,Analyse & Zusammenfassungen,"Sie sind ein Experte für Textanalyse. Bitte extrahieren Sie nur die relevantesten Keywords und Keyphrases aus einem Textstück. Bitte stellen Sie die Ergebnisse in einer Markdown-Tabelle mit den folgenden Spalten dar: Keyword, Häufigkeit (Keywords), Keyphrases. Bitte analysieren Sie den folgenden Text: {{Text}}"
Native Übersetzung,Übersetzen Sie Text in Ihre Muttersprache Ihrer Wahl.,Analyse & Zusammenfassungen,Sie sind ein erfahrener Übersetzer. Übersetzen Sie den folgenden Text ins Deutsche unter Verwendung des Vokabulars und der Ausdrücke eines deutschen Muttersprachlers. Der zu übersetzende Text ist {{Text}}
Sprachdetektor,Erkennen Sie die Sprache eines Textstücks und übersetzen Sie es.,Analyse & Zusammenfassungen,Sie sind ein Sprachexperte mit Kenntnissen über jede erkennbare Sprache. Bitte identifizieren Sie die Sprache und übersetzen Sie sie dann ins Deutsche. Text: {{Text}}
Themenextraktion,Extrahieren Sie Themen aus einem Textstück.,Analyse & Zusammenfassungen,"Sie sind ein Experte für Textanalyse und Recherche. Bitte extrahieren und benennen Sie die Hauptthemen und Keywords aus dem von mir bereitgestellten Text. Bitte präsentieren Sie die Ergebnisse in einer Markdown-Tabelle mit dem Namen des Themas und Keywords, die mit dem Hauptthema zusammenhängen. Hier ist der Text: {{Text}}"
Strukturierte akademische Zusammenfassung,Generieren Sie eine strukturierte Zusammenfassung für Vorlesungsnotizen oder akademische Texte.,Analyse & Zusammenfassungen,"Sie sind ein Experte für akademisches Notieren. Bitte fassen Sie den von mir bereitgestellten Text zusammen und präsentieren Sie die Ergebnisse wie folgt: - Eine Markdown-Tabelle mit den folgenden Spalten: Thema, Schlüsselbegriffe, Beschreibung (vereinfacht) - Eine Stichpunktliste mit den häufig gestellten Fragen zum Thema des Textes - Eine Markdown-Tabelle mit der Definition der wichtigen Schlüsselbegriffe. Hier ist der Text: {{Text}}"
TLDR-Zusammenfassung,Generieren Sie eine TLDR-Zusammenfassung für ein Textstück.,Analyse & Zusammenfassungen,Sie sind ein erfahrener Texter. Bitte fassen Sie ein von mir bereitgestelltes Textstück in einer TLDR-Zusammenfassung für {{Zielgruppe}} zusammen. Hier ist der Text: {{Text}}
Zusammenfassung von Forschungsarbeiten,Generieren Sie eine Zusammenfassung für eine Forschungsarbeit.,Analyse & Zusammenfassungen,"Sie sind ein erfahrener Forscher. Bitte erstellen Sie eine Zusammenfassung der wichtigsten Punkte und Ergebnisse der Arbeit. Ihre Zusammenfassung sollte prägnant sein und die wichtigsten Punkte der Arbeit genau und objektiv wiedergeben. Sie sollten keine persönlichen Meinungen oder Interpretationen in Ihre Zusammenfassung einfließen lassen, sondern sich darauf konzentrieren, die Informationen aus der Arbeit objektiv darzustellen. Die Zusammenfassung sollte 500 Wörter lang sein und keine direkten Zitate aus der Arbeit enthalten. Bitte stellen Sie sicher, dass Ihre Zusammenfassung klar und prägnant ist und den Inhalt der folgenden Arbeit genau wiedergibt: {{Forschungsarbeit}}"
Abstraktiv & Extraktiv,Vergleichen Sie die abstraktive und extraktive Zusammenfassung des von Ihnen bereitgestellten Textes.,Analyse & Zusammenfassungen,"Sie sind ein Experte für Textanalyse und Recherche. Bitte erstellen Sie eine extraktive und abstraktive Zusammenfassung für den Text, den ich Ihnen gebe. Bitte liefern Sie die Ergebnisse in einer Tabelle, die die extraktive Zusammenfassung mit der abstraktiven Zusammenfassung des Textes vergleicht. Hier ist der Text: {{Text}}"
Stichpunktzusammenfassung,Fasse ein Textstück in Stichpunkten zusammen.,Analyse & Zusammenfassungen,"Sie sind ein Experte für Textanalyse und Recherche. Schreiben Sie die Überschrift ""Zusammenfassung"". Bitte fassen Sie dann ein Textstück, das ich Ihnen gebe, in Stichpunkten zusammen und geben Sie diese aus. Schreiben Sie danach die Überschrift ""Themen"". Bitte geben Sie die Hauptthemen der Zusammenfassung aus. Hier ist der Text: {{Text}}"
Glückwunschschreiben,Verfasse einen Glückwunschbrief an einen Kollegen.,Assistenzaufgaben,"**Aufgabe:** Schreibe einen Glückwunschbrief, um den Erfolg eines Kollegen anzuerkennen.
**Anweisungen:** 1. Beginne mit einer herzlichen Begrüßung, in der du den Empfänger namentlich ansprichst. 2. Erkläre im ersten Absatz den Anlass deines Briefes – gratuliere dem Kollegen zu seinem spezifischen Erfolg. 3. Im zweiten Absatz gib weitere Details zu seiner Leistung und drücke deine Bewunderung für seine harte Arbeit, Hingabe und sein Talent aus. 4. Beschreibe im dritten Absatz die positive Auswirkung seiner Leistung auf das Team, die Abteilung oder die Organisation und wie sie mit den Zielen des Unternehmens übereinstimmt. 5. Schließe den Brief mit erneuten Glückwünschen und drücke dein Vertrauen in seinen zukünftigen Erfolg aus, gefolgt von einem herzlichen Gruß und deiner Unterschrift. **Benutzereingaben:** {{Kollegenname}), {{Spezifischer Erfolg}}"
Vorlage für Executive-Reports,Erstelle eine standardisierte Vorlage für Executive-Reports und -Präsentationen.,Assistenzaufgaben,"**Aufgabe:** Erstelle eine standardisierte Vorlage für Executive-Reports und -Präsentationen. 
**Anweisungen:** 1. Beginne mit einer Zusammenfassung, die die Hauptpunkte, Erkenntnisse und Empfehlungen hervorhebt. 2. Füge ein Inhaltsverzeichnis zur einfachen Navigation hinzu. 3. Stelle den Zweck, die Ziele und den Umfang des Berichts oder der Präsentation dar. 4. Präsentiere den Hauptinhalt strukturiert und logisch mit Überschriften und Unterüberschriften. 5. Verwende visuelle Hilfsmittel wie Grafiken, Diagramme und Tabellen, um deine Aussagen zu unterstützen. 6. Schließe mit einer Zusammenfassung der wichtigsten Erkenntnisse und handlungsorientierten Empfehlungen ab. 7. Füge bei Bedarf einen Anhang für ergänzende Informationen hinzu. 8. Achte auf ein konsistentes Branding und eine einheitliche Formatierung im gesamten Dokument. 
**Benutzereingaben:** {{Firmenname oder -logo}}, {{Spezifischer Projektname oder Thema}}"
Dokumentenmanagementsystem,"Erstelle ein umfassendes System zur Organisation, Kategorisierung und sicheren Speicherung wichtiger Firmendokumente.",Assistenzaufgaben,"**Aufgabe:** Erstelle ein umfassendes System zur Organisation, Kategorisierung und sicheren Speicherung wichtiger Firmendokumente, um einfachen Zugriff, Versionskontrolle und Datenschutz zu gewährleisten. **Anweisungen:** 1. Ermittele die Arten von Dokumenten, die das Unternehmen speichern muss (z. B. Verträge, Finanzunterlagen, Mitarbeiterakten, Projektdokumentation). 2. Wähle ein geeignetes DMS, das den Anforderungen an Speicherkapazität, Sicherheit und Benutzerfreundlichkeit entspricht. 3. Definiere eine klare und intuitive Ordnerstruktur innerhalb des DMS, die Dokumente nach Abteilung, Projekt oder Dokumenttyp kategorisiert. 4. Etabliere eine konsistente Namenskonvention für Dateien und Ordner zur einfachen Suche und Auffindbarkeit. 5. Richte Benutzerrollen und Zugriffsberechtigungen ein, um sicherzustellen, dass nur berechtigte Personen auf sensible Dokumente zugreifen können. 6. Implementiere eine Versionskontrolle, um Änderungen an Dokumenten nachzuverfolgen und frühere Versionen bei Bedarf wiederherstellen zu können. 7. Schulen die Mitarbeiter im effektiven Umgang mit dem DMS, inklusive Dokumenten-Upload, Kategorisierung und Suchtechniken. 8. Überprüfe und aktualisiere regelmäßig die Ordnerstruktur und Zugriffsberechtigungen. **Benutzereingaben:** - {{DMS (z.B. Google Drive, Microsoft SharePoint, Dropbox)}} - {{Namenskonvention (z.B. YYYY-MM-DD_Abteilungsname_Dokumententyp_Version)}}"
Betreffzeilen-Generator,Generieren Sie Betreffzeilen für eine E-Mail.,Assistenzaufgaben,Sie sind ein erfahrener E-Mail-Marketer. Erstellen Sie 10 ansprechende Betreffzeilen mit jeweils 50-60 Zeichen für folgende E-Mail: {{E-Mail-Inhalt}}
Professioneller E-Mail-Editor,Bearbeiten Sie jede E-Mail für den gewünschten Tonfall und Schreibstil.,Assistenzaufgaben,"Sie sind ein versierter E-Mail-Redakteur. Überprüfen Sie die folgende Geschäfts-E-Mail auf Grammatik, Zeichensetzung und Klarheit. Bewahren Sie dabei die ursprüngliche Bedeutung. Bearbeiten Sie diesen Text: ""{{E-Mail-Text}}"""
Fachübersicht,Erstellen Sie Unterthemen für Ihr gewähltes Unterrichtsfach.,Bildung & Training,"Sie sind ein Lehrer. Bitte geben Sie eine Erklärung und einen Überblick über die Kernfächer für das Fach ""{{Fach}}"" für 14-jährige Schüler. Bitte präsentieren Sie die Informationen in einer Markdown-Tabelle mit den folgenden Spalten: Kernthema, Erklärung, Unterrichtsaktivität, Weiterführende Lernressourcen."
Unterrichtsplan-Kalender,Erstellen Sie einen Unterrichtsplan-Kalender für die nächsten drei Monate.,Bildung & Training,"Sie sind ein Lehrer. Bitte erstellen Sie einen 3-monatigen Unterrichtsplan-Kalender für 14-jährige Schüler für das Fach ""{{Fach}}"". Es sollten 2 Unterrichtsstunden pro Woche geplant werden. Die Unterrichtsstunden sollten darauf abzielen, kritisches Denken, kreatives Denken, Kommunikationsfähigkeiten, analytische Fähigkeiten und Forschungsfähigkeiten zu entwickeln. Jede Unterrichtsstunde sollte eine Aktivität und Hausaufgaben haben. Die Markdown-Tabelle sollte tatsächliche Daten in der Zukunft enthalten. Jeder Monat sollte seine eigene Markdown-Tabelle haben. Die Tabellenspalten sollten sein: Datum, Unterrichtsstunde, Aktivität, Hausaufgaben. Bitte organisieren Sie jede Unterrichtsstunde in der Tabelle so, dass es wie ein Kalender aussieht. Antworten Sie nur mit der Tabelle."
Ressourcen-Generator,Finden Sie Ressourcen/Tools für Ihr Wunschfach.,Bildung & Training,"Sie sind ein Lehrer. Bitte schlagen Sie einige Tools oder Ressourcen vor, die mir helfen, interaktive Präsentationen für meine 14-jährigen Schüler für das Fach ""{{Fach}}"" zu erstellen. Bitte präsentieren Sie die Ergebnisse in einer Markdown-Tabelle mit den folgenden Spalten: Tool/Ressource, Beschreibung, Aktivitätsidee."
Quiz-Ersteller,Erstellen Sie ein Quiz für Ihr gewähltes Fach.,Bildung & Training,"Sie sind ein Lehrer. Bitte erstellen Sie ein Quiz mit 10 Fragen für 14-jährige Schüler zum Thema: ""{{Fach}}"""
Artikelgliederung erstellen,Erstelle eine detaillierte Gliederung nach der der Minto-Pyramidenstruktur für einen Artikel.,Content & SEO,"**Aufgabe:** Du bist ein professioneller Artikelautor und Experte für das Minto-Pyramidenprinzip. Erstelle eine detaillierte Gliederung für einen Artikel zum Thema {{Titel des Artikels}}. Gib nur die Schlüsselthesen an und entwickle eine überzeugende und informative Überschrift. Der endgültige Artikel soll {{Anzahl der Zeichen}} Zeichen lang sein und der Minto-Pyramidenstruktur folgen.
**Anweisungen:**
**1. Einleitung (Hauptschlussfolgerung)**
Beginne mit der Kernbotschaft des Artikels – dies ist die Hauptidee, die das gesamte Stück entwickeln wird. Definiere klar, was der Leser aus dem Artikel mitnehmen soll.
**2. Hauptargumente**
Präsentiere die Schlüsselargumente, die die Hauptschlussfolgerung unterstützen. Jedes Argument sollte logisch auf das vorherige folgen und die zentrale These verstärken.
* **Argument 1:** {{Schlüsselpunkt 1}}
* **Argument 2:** {{Schlüsselpunkt 2}}
* **Argument 3:** {{Schlüsselpunkt 3}}
**3. Unterstützende Daten**
Für jedes Argument gib konkrete Beweise an, wie Fakten, Studien, Expertenmeinungen oder realistische Beispiele, um die Ideen zu unterstützen und zu erweitern. Stelle sicher, dass eine logische Kohärenz besteht.
**4. Schlussfolgerung**
Wiederhole die Hauptschlussfolgerung, betone ihre Bedeutung und praktische Anwendung. Fasse die Hauptargumente zusammen und biete handlungsorientierte Empfehlungen oder nächste Schritte für den Leser an.
Verwende einen klaren, strukturierten und ansprechenden Stil. Stelle sicher, dass die Übergänge zwischen den Abschnitten logisch und flüssig sind. Vermeide Klischees und generische Argumente – biete frische Perspektiven. Halte den Artikel originell, einfallsreich und gut durch Beweise gestützt."
Generische Landing Page,Erstelle eine Landing-Page-Struktur für ein Wunschthema.,Content & SEO,"Sie sind ein Experte für Landing Pages. Erstellen Sie eine strukturierte Landing Page mit 5 wichtigen Punkten. Bitte bauen Sie diese Keywords ein: {{Keywords}}. Beschreiben Sie die Hauptpunkte der Landing Page und nutzen Sie packende Überschriften, die zum Kauf und zur Anmeldung motivieren. Vergessen Sie nicht, die Gesamtstruktur zu erläutern und einen Title-Tag (50-60 Zeichen) sowie eine Meta-Beschreibung (150-160 Zeichen) hinzuzufügen."
Empfehlungs-E-Mail-Generator,E-Mails für Kundenempfehlungen erstellen.,Content & SEO,"Sie sind ein Marketingmanager. Verfassen Sie eine E-Mail an einen Bestandskunden mit der Bitte um eine Empfehlung. Ziel ist es, den Kunden zu motivieren, Sie in seinem Netzwerk weiterzuempfehlen. Für erfolgreiche Empfehlungen gibt es eine finanzielle Belohnung."
E-Mail-Newsletter-Kalender,Erstellen Sie einen E-Mail-Newsletter-Kalender für die nächsten drei Monate.,Content & SEO,"Sie sind ein erfahrener E-Mail-Marketer. Entwickeln Sie einen Newsletter-Kalender mit Ideen für die nächsten 3 Monate zum Thema ""{{Thema}}"". Planen Sie zwei E-Mails pro Woche, wobei Monat 2 und 3 flexibel bleiben sollten, basierend auf den Ergebnissen des Vormonats. Jeder Monat sollte ein Hauptthema haben. Erstellen Sie eine Tabelle mit folgenden Spalten: Monat, Woche, Fun Fact, Content-Idee, Verfügbare Informationen, Kriterien, Future Simple mit Betonung des E-Mail-Themenplans, Persönliche Erfahrung und E-Mail-Betreff. Planen Sie etwa 5 E-Mails monatlich und verwenden Sie ""{{Keyword}}"" in den E-Mails. Liefern Sie nur die übersichtliche Tabelle mit Kalender-ähnlichen Einträgen."
